sku,name,brand,price,price_text
031340001,STOCKY SPARE WHEEL FOR MOEDL:RL3510B,STOCKY,21.5047,$21.5047
031380112,"HAND TROLLEY SPARE AIR WHEEL 10"" X3.5""A, FOR CT85",CHINA,42.0561,$42.0561
031770101,FIAC FRONT WHEEL FOR 270L TANK,FIAC,30.0000,$30.0000
0318901001,NPC PLASTIC CONTAINER SPARE WHEEL FOR 400L-NJB400W SET/4PC,NPC,307.5700,$307.5700
0318901002,NPC PLASTIC CONTAINER SPARE WHEEL FOR 600L-NJB600W SET/4PC,NPC,390.0000,$390.0000
0331901,SKK NYLON CASTOR MD50N - ANGLE IRON TOP,SKK,13.8889,$13.8889
033190101,SKK BALL CASTOR TG-50B (FLAT TOP),SKK,3.2710,$3.2710
033191152152,"SKK HEAVY DUTY PU SCAFFOLD CASTOR W/BRAKE 6"" LOAD 380KG [1152-152]",SKK,32.3148,$32.3148
033191152203,"SKK HEAVY DUTY PU SCAFFOLD CASTOR W/BRAKE 8"" LOAD 500KG [1152-203]",SKK,38.4259,$38.4259
033191180152,"SKK HEAVY DUTY NYLON SCAFFOLD CASTOR W/BRAKE 6"" LOAD 250KG [1180-152]",SKK,34.0278,$34.0278
033191180200,"SKK HEAVY DUTY NYLON SCAFFOLD CASTOR W/BRAKE 8"" LOAD 400KG [1180-200]",SKK,43.2870,$43.2870
033191181152,"SKK H/DUTY ADJUSTABLE NYLON SCAFFOLD CASTOR W/BRAKE 6"" LOAD 250KG[1181-152]",SKK,71.1111,$71.1111
033191181200,"SKK H/DUTY ADJUSTABLE NYLON SCAFFOLD CASTOR W/BRAKE 8"" LOAD 400KG[1181-200]",SKK,84.6750,$84.6750
03319430100,"SKK SPARE RUBBER WHEEL 4""x30mm 11.50MM BORE LOAD 70KG [4000100]",SKK,3.5648,$3.5648
03319430125,"SKK SPARE RUBBER WHEEL 5""x37mm 15MM BORE LOAD 100KG [4000125]",SKK,4.8611,$4.8611
03319430160,"SKK SPARE RUBBER WHEEL 6""x40mm 20MM BORE, LOAD 145KG [4000160]",SKK,6.2500,$6.2500
03319430190,"SKK STEEL CORE BEARING RUBBER WHEEL 190x44mm 25MM BORE,LOAD 200KG [4051190]",SKK,11.8056,$11.8056
03319430200,"SKK SPARE RUBBER WHEEL 8""x50mm 20/25MM BORE, LOAD 185KG [4000200]",SKK,8.7963,$8.7963
03319510075,"SKK STD DUTY IND. CASTOR WHEEL RIGID 3"" LOAD 50KG [4002075]",SKK,2.7315,$2.7315
